47.9544, latitude, 2.34074, longitude, -27.2247
51.2786, latitude, -3.48356, longitude, -27.2248
32.3776, latitude, -9.46929, longitude, -27.2251
33.0443, latitude, -15.2549, longitude, -27.2247
68.4609, latitude, -21.0642, longitude, -27.2249
55.1276, latitude, -27.0113, longitude, -27.2248
45.2279, latitude, -32.8177, longitude, -27.2252
5.03516, latitude, -38.7837, longitude, -27.2247
0.403646, latitude, -44.5606, longitude, -27.2249
17.0469, latitude, -37.5053, longitude, -28.927
18.2682, latitude, -37.5053, longitude, -28.927
59.1172, latitude, -31.7096, longitude, -28.9268
63.3893, latitude, -31.7095, longitude, -28.9268
61.4023, latitude, -20.0563, longitude, -28.9269
25.3424, latitude, -19.8793, longitude, -28.9266
45.2461, latitude, -8.34062, longitude, -28.9269
48.7995, latitude, -8.14034, longitude, -28.9266
46.4831, latitude, 3.50076, longitude, -28.9268
60.0924, latitude, 3.50084, longitude, -28.9267
39.0807, latitude, 15.2397, longitude, -28.9268
61.9883, latitude, 15.2394, longitude, -28.927
52.7148, latitude, 26.9626, longitude, -28.9268
17.2357, latitude, 26.9625, longitude, -28.9267
1.27214, latitude, 38.5965, longitude, -28.9266
0.311198, latitude, 38.7759, longitude, -28.9266
11.112, latitude, 56.0934, longitude, -28.9267
35.8008, latitude, 62.1621, longitude, -28.9269
0.770833, latitude, 67.9017, longitude, -28.9264
3.51693, latitude, 79.5449, longitude, -28.9266
26.2005, latitude, 85.4981, longitude, -28.9267
36.9036, latitude, 85.444, longitude, -30.502
0.700521, latitude, 79.478, longitude, -30.5019
14.707, latitude, 67.7237, longitude, -30.5019
42.6966, latitude, 62.0066, longitude, -30.5019
4.88281, latitude, 55.9798, longitude, -30.502
4.51432, latitude, 44.3111, longitude, -30.5018
9.61328, latitude, 38.5038, longitude, -30.5018
39.0273, latitude, 32.5442, longitude, -30.502
61.5365, latitude, 26.8585, longitude, -30.5019
42.9987, latitude, 20.9263, longitude, -30.5018
32.4154, latitude, 14.9721, longitude, -30.5016
55.3464, latitude, 9.10548, longitude, -30.5019
26.2174, latitude, 3.2967, longitude, -30.502
40.1276, latitude, -2.5863, longitude, -30.5018
50.3359, latitude, -8.37244, longitude, -30.5016
30.7318, latitude, -14.3581, longitude, -30.5015
63.1758, latitude, -20.1812, longitude, -30.5013
56.6094, latitude, -25.9951, longitude, -30.5016
53.7695, latitude, -31.8853, longitude, -30.5017
53.7044, latitude, -31.8853, longitude, -30.5017
15.0586, latitude, -37.6919, longitude, -30.5017
3.86589, latitude, -43.5104, longitude, -30.5017
7.34505, latitude, -44.3636, longitude, -32.0439
7.54818, latitude, -44.3636, longitude, -32.0439
18.4492, latitude, -38.5887, longitude, -32.0439
56.7539, latitude, -38.4285, longitude, -32.0442
56.1042, latitude, -26.7551, longitude, -32.0437
60.4154, latitude, -26.7549, longitude, -32.044
31.888, latitude, -15.1716, longitude, -32.044
45.5807, latitude, -14.997, longitude, -32.0438
32.5104, latitude, -3.39364, longitude, -32.0439
24.4245, latitude, -3.39323, longitude, -32.044
56.1029, latitude, 8.33628, longitude, -32.0439
25.0625, latitude, 14.1684, longitude, -32.0442
36.5039, latitude, 20.1596, longitude, -32.044
60.4362, latitude, 25.9187, longitude, -32.044
41.4349, latitude, 31.8877, longitude, -32.0437
11.7344, latitude, 37.5638, longitude, -32.0438
6.56771, latitude, 43.4715, longitude, -32.0438
4.17318, latitude, 55.2626, longitude, -32.044
43.7422, latitude, 61.0718, longitude, -32.0439
15.1706, latitude, 67.0075, longitude, -32.0439
1.72135, latitude, 78.7006, longitude, -32.0438
44.4036, latitude, 84.5956, longitude, -32.0437
42.5964, latitude, 86.5376, longitude, -33.6083
5.33594, latitude, 80.797, longitude, -33.6081
17.2161, latitude, 68.964, longitude, -33.6082
49.1315, latitude, 63.1233, longitude, -33.6081
3.33854, latitude, 57.1982, longitude, -33.6079
8.5, latitude, 45.5506, longitude, -33.608
9.33984, latitude, 45.5506, longitude, -33.608
25.6471, latitude, 39.6293, longitude, -33.6078
55.4297, latitude, 39.6292, longitude, -33.6079
60.6615, latitude, 27.8732, longitude, -33.608
25.2318, latitude, 22.0324, longitude, -33.6083
11.2292, latitude, 16.2405, longitude, -33.6079
12.3203, latitude, 16.0707, longitude, -33.6076
58.974, latitude, 10.2539, longitude, -33.6081
18.9688, latitude, 4.40637, longitude, -33.608
13.1979, latitude, -1.3673, longitude, -33.6078
30.7982, latitude, -7.37321, longitude, -33.6081
31.0065, latitude, -7.37321, longitude, -33.6081
42.237, latitude, -13.2597, longitude, -33.6078
43.2995, latitude, -13.2597, longitude, -33.6079
53.3516, latitude, -19.2463, longitude, -33.6077
47.7448, latitude, -25.0484, longitude, -33.6076
59.5469, latitude, -30.898, longitude, -33.6073
31.7721, latitude, -36.721, longitude, -33.6076
13.1628, latitude, -42.6841, longitude, -33.608
8.83333, latitude, -45.2411, longitude, -35.2365
28.5273, latitude, -39.3892, longitude, -35.2367
58.2396, latitude, -39.389, longitude, -35.2367
43.7109, latitude, -27.6073, longitude, -35.237
47.3542, latitude, -21.9094, longitude, -35.2369
52.1224, latitude, -15.9019, longitude, -35.2367
35.2214, latitude, -15.9019, longitude, -35.2371
13.1667, latitude, -4.29819, longitude, -35.2369
9.21094, latitude, -4.29806, longitude, -35.2372
50.5078, latitude, 7.42548, longitude, -35.2369
20.8333, latitude, 7.42518, longitude, -35.2368
10.4609, latitude, 19.2811, longitude, -35.2367
53.8021, latitude, 19.2811, longitude, -35.237
58.4062, latitude, 30.9927, longitude, -35.2371
42.3529, latitude, 36.7117, longitude, -35.2372
18.6914, latitude, 42.7422, longitude, -35.237
0.597656, latitude, 54.3175, longitude, -35.2367
26.043, latitude, 54.4901, longitude, -35.2371
44.1927, latitude, 66.2058, longitude, -35.2369
32.5299, latitude, 77.7798, longitude, -35.2367
30.4271, latitude, 87.2035, longitude, -36.8291
4.61589, latitude, 87.2033, longitude, -36.8292
15.1302, latitude, 69.5827, longitude, -36.8291
54.3971, latitude, 63.7379, longitude, -36.8288
3.36198, latitude, 57.9513, longitude, -36.8288
0.864583, latitude, 52.055, longitude, -36.829
12.7357, latitude, 46.2595, longitude, -36.8289
43.8568, latitude, 40.2287, longitude, -36.8287
53.444, latitude, 34.5479, longitude, -36.8288
45.3776, latitude, 28.6081, longitude, -36.829
13.0846, latitude, 22.7472, longitude, -36.8292
2.38151, latitude, 16.8846, longitude, -36.8287
45.099, latitude, 11.0884, longitude, -36.8288
14.0195, latitude, 5.05852, longitude, -36.8287
7.32161, latitude, -0.682659, longitude, -36.8289
22.7552, latitude, -6.55215, longitude, -36.8289
47.9154, latitude, -12.4945, longitude, -36.8288
33.625, latitude, -18.325, longitude, -36.829
32.6849, latitude, -24.1946, longitude, -36.829
53.9609, latitude, -30.0557, longitude, -36.8293
49.6055, latitude, -35.8345, longitude, -36.8288
27.8203, latitude, -41.6732, longitude, -36.8289
1.35677, latitude, -47.6234, longitude, -36.8288
1.34245, latitude, -51.9786, longitude, -38.471
9.39062, latitude, -46.0525, longitude, -38.4713
43.612, latitude, -40.1857, longitude, -38.471
64.4844, latitude, -34.3458, longitude, -38.4711
34.9245, latitude, -28.5549, longitude, -38.471
24.9609, latitude, -22.6123, longitude, -38.4708
42.5664, latitude, -16.8258, longitude, -38.4711
39.5638, latitude, -10.8793, longitude, -38.4708
15.6484, latitude, -4.99538, longitude, -38.471
15.1081, latitude, -4.99538, longitude, -38.471
1.46094, latitude, 0.878351, longitude, -38.4712
31.8737, latitude, 0.878774, longitude, -38.4709
18.1927, latitude, 12.6162, longitude, -38.471
2.28516, latitude, 12.6162, longitude, -38.4708
24.7956, latitude, 24.215, longitude, -38.471
47.6484, latitude, 24.3916, longitude, -38.471
41.8424, latitude, 36.0105, longitude, -38.4709
38.9284, latitude, 36.0107, longitude, -38.471
4.72396, latitude, 47.7855, longitude, -38.4712
0.342448, latitude, 47.7854, longitude, -38.4711
20.2526, latitude, 59.3903, longitude, -38.4712
46.7578, latitude, 59.3904, longitude, -38.4713
19.8789, latitude, 83.9098, longitude, -38.4709
10.4935, latitude, 87.1554, longitude, -40.0198
0.980469, latitude, 81.3176, longitude, -40.0197
7.21224, latitude, 69.6193, longitude, -40.0196
